Testart;Wann;Wann_dropdown;Testuser;Anzahl der Testuser;Anzahl der Testuser_dropdown;Ziel;Rückmeldung;Skala;Zeit pro Teilnehmer;Setting;Vorhandene Formulare;Weiterführende Links
Usability-Testing;Prototyping-Phase und regelmäßig während der Entwicklung;Während der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;5-7 pro Session;5-10;Identifikation von Usability-Problemen und Verbesserung der Benutzerfreundlichkeit;Beobachtungen, Think-Aloud-Protokoll, Post-Test-Fragebogen;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;
Beta-Testing;Kurz vor der offiziellen Veröffentlichung;Ende der Entwicklung;Echte Endbenutzer (Mischung aus Fach-bekannten und Fachfremden);50-500;>10;Finden von letzten Fehlern, Performance-Problemen und Sammeln von Feedback zur Benutzererfahrung;Bug-Reports, Feedback-Formulare, Umfragen;Offene Fragen und Likert-Skala (1-5);30 Minuten pro Woche;Remote;;
A/B-Testing;Nach der Veröffentlichung, bei Änderungen an bestehenden Funktionen oder Einführung neuer Funktionen;Ende der Entwicklung;Endbenutzer;>500;>10;Vergleich der Leistung und Benutzerakzeptanz zwischen Varianten;Automatisierte Datensammlung (Klicks, Conversion-Rates);Quantitative Daten (KPI);Laufend;Remote;;
Exploratory-Testing;Während der Entwicklung, vor formalen Testphasen;Während der Entwicklung;Erfahrene Tester oder Entwickler;3-5;1-5;Unstrukturierte Entdeckung von Fehlern und Schwachstellen;Fehlerberichte, mündliches Feedback;Qualitatives Feedback, offene Fragen;60-120 Minuten;Vor Ort;;
Remote Usability-Testing;Während der Prototyping-Phase und vor großen Releases;Ende der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;5-10 pro Runde;5-10;Sammeln von Usability-Feedback und Beobachtung der Interaktion;Bildschirmaufnahmen, Audioaufnahmen, Fragebögen;Likert-Skala (1-5);60-90 Minuten;Remote;;
Accessibility-Testing;Während der Entwicklung und vor dem Release;Während der Entwicklung;Benutzer mit Behinderungen;5-10;5-10;Sicherstellen der Zugänglichkeit;Beobachtungen, Fehlerberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;
Performance-Testing;Späte Entwicklungsphase, vor dem Release;Ende der Entwicklung;Technische Experten und automatisierte Testtools;-;Andere;Überprüfung von Geschwindigkeit, Skalierbarkeit, Stabilität;Automatisierte Performance-Metriken, Logs;Quantitative Daten (Ladezeiten, Durchsatz);Laufend;Vor Ort oder remote;;
User Acceptance Testing (UAT);Am Ende der Entwicklungsphase, kurz vor dem Release;Ende der Entwicklung;Endbenutzer oder Stakeholder;10-20;>10;Verifizierung der Anforderungen und Erwartungen;Abnahmeberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;
Focus Groups;Vor und während der frühen Entwicklungsphasen;Während der Entwicklung;Vertreter der Zielgruppe, Fach-bekannte und Fachfremde;6-10 pro Gruppe;5-10;Einholen von Meinungen und Vorschlägen;Gruppendiskussionen, Protokolle, Fragebögen;Likert-Skala (1-5);2-3 Stunden;Vor Ort;;
Heuristic Evaluation;Vor Usability-Tests und während der Design-Phase;Anfang der Entwicklung;Usability-Experten;3-5;1-5;Identifikation von Usability-Problemen;Expertenberichte, Checklisten;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;
Card Sorting;Während der Planungs- und Design-Phase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;15-20;>10;Verbesserung der Informationsarchitektur;Sortierdaten, Fragebögen;Quantitative Daten, offene Fragen;30-60 Minuten;Vor Ort oder remote;;
Contextual Inquiry;Frühe Entwicklungsphase und Anforderungsanalyse;Anfang der Entwicklung;Endbenutzer in ihrem natürlichen Arbeitsumfeld;3-5;1-5;Verstehen der Benutzeranforderungen und -verhalten;Beobachtungsprotokolle, Interviews;Qualitatives Feedback, offene Fragen;2-4 Stunden;Vor Ort;;
Cognitive Walkthrough;Design- und frühe Entwicklungsphase;Anfang der Entwicklung;Usability-Experten oder Entwickler;3-5;1-5;Bewertung der Benutzerfreundlichkeit;Schritt-für-Schritt-Berichte, Checklisten;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;
Think-Aloud-Protocol;Prototyping-Phase und frühe Entwicklungsphase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;5-10;5-10;Erkennen von Usability-Problemen;Audio-/Videoaufnahmen, Protokolle;Offene Fragen, qualitative Daten;60-90 Minuten;Vor Ort oder remote;;
Diary Studies;Während der gesamten Entwicklungsphase;Immer wieder;Endbenutzer, die regelmäßig teilnehmen;5-10;5-10;Sammeln von Langzeitdaten über Nutzungserfahrung;Tagebucheinträge, regelmäßige Feedback-Sessions;Offene Fragen, qualitative Daten;10-15 Minuten täglich;Remote;;
Guerrilla Testing;Jede Phase der Entwicklung, meist frühe Stadien;Immer wieder;Zufällige Personen an öffentlichen Orten;3-5 pro Session;1-5;Schnelles Feedback zur Benutzerfreundlichkeit;Mündliches Feedback, kurze Fragebögen;Offene Fragen, kurze Likert-Skala (1-3);5-15 Minuten;Vor Ort;;
Ethnographic Studies;Frühe Entwicklungsphase;Anfang der Entwicklung;Endbenutzer in ihrem natürlichen Umfeld;3-5;1-5;Tieferes Verständnis der Benutzerkontexte;Beobachtungsprotokolle, Interviews;Qualitatives Feedback, offene Fragen;Mehrere Tage bis Wochen;Vor Ort;;
Peer Reviews;Während der gesamten Entwicklungsphase;Immer wieder;Kollegen und andere Entwickler oder Designer;2-4;1-5;Identifikation von Problemen und Verbesserungspotenzialen;Review-Berichte, Feedback-Dokumente;Offene Fragen, qualitative Daten;30-60 Minuten;Vor Ort oder remote;;
Surveys and Questionnaires;Während der Entwicklung und nach Releases;Während der Entwicklung;Endbenutzer oder repräsentative Benutzergruppen;10-20;>10;Sammeln von quantitativen und qualitativen Daten;Ausgefüllte Fragebögen;Likert-Skala (1-5), Schulnoten (1-6);10-20 Minuten;Remote;;
Rapid Prototyping Feedback Sessions;Design- und frühe Entwicklungsphase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;3-5 pro Session;1-5;Schnelles Feedback zu frühen Prototypen;Beobachtungen, mündliches Feedback, kurze Fragebögen;Offene Fragen, kurze Likert-Skala (1-3);30-60 Minuten;Vor Ort oder remote;;
