Testart;Wann;wann_dropdown;Testuser;testuser_dropdown;Anzahl der Testuser;testuser_anzahl_dropdown;Ziel;Rückmeldung;Skala;Zeit pro Teilnehmer;Setting;Vorhandene Formulare;Weiterführende Links
Usability-Testing;Prototyping-Phase und regelmäßig während der Entwicklung;Während der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;5-7 pro Session;5-10;Identifikation von Usability-Problemen und Verbesserung der Benutzerfreundlichkeit;Beobachtungen, Think-Aloud-Protokoll, Post-Test-Fragebogen;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;;
Beta-Testing;Kurz vor der offiziellen Veröffentlichung;Ende der Entwicklung;Echte Endbenutzer (Mischung aus Fach-bekannten und Fachfremden);Endbenutzer;50-500;>10;Finden von letzten Fehlern, Performance-Problemen und Sammeln von Feedback zur Benutzererfahrung;Bug-Reports, Feedback-Formulare, Umfragen;Offene Fragen und Likert-Skala (1-5);30 Minuten pro Woche;Remote;;;
A/B-Testing;Nach der Veröffentlichung, bei Änderungen an bestehenden Funktionen oder Einführung neuer Funktionen;Ende der Entwicklung;Endbenutzer;Endbenutzer;>500;>10;Vergleich der Leistung und Benutzerakzeptanz zwischen Varianten;Automatisierte Datensammlung (Klicks, Conversion-Rates);Quantitative Daten (KPI);Laufend;Remote;;;
Exploratory-Testing;Während der Entwicklung, vor formalen Testphasen;Während der Entwicklung;Erfahrene Tester oder Entwickler;Entwickler;3-5;1-5;Unstrukturierte Entdeckung von Fehlern und Schwachstellen;Fehlerberichte, mündliches Feedback;Qualitatives Feedback, offene Fragen;60-120 Minuten;Vor Ort;;;
Remote Usability-Testing;Während der Prototyping-Phase und vor großen Releases;Ende der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;5-10 pro Runde;5-10;Sammeln von Usability-Feedback und Beobachtung der Interaktion;Bildschirmaufnahmen, Audioaufnahmen, Fragebögen;Likert-Skala (1-5);60-90 Minuten;Remote;;;
Accessibility-Testing;Während der Entwicklung und vor dem Release;Während der Entwicklung;Benutzer mit Behinderungen;Benutzer mit speziellen Bedürfnissen;5-10;5-10;Sicherstellen der Zugänglichkeit;Beobachtungen, Fehlerberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;;
Performance-Testing;Späte Entwicklungsphase, vor dem Release;Ende der Entwicklung;Technische Experten und automatisierte Testtools;Fachexperten;-;Andere;Überprüfung von Geschwindigkeit, Skalierbarkeit, Stabilität;Automatisierte Performance-Metriken, Logs;Quantitative Daten (Ladezeiten, Durchsatz);Laufend;Vor Ort oder remote;;;
User Acceptance Testing (UAT);Am Ende der Entwicklungsphase, kurz vor dem Release;Ende der Entwicklung;Endbenutzer oder Stakeholder;Endbenutzer;10-20;>10;Verifizierung der Anforderungen und Erwartungen;Abnahmeberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;;
Focus Groups;Vor und während der frühen Entwicklungsphasen;Während der Entwicklung;Vertreter der Zielgruppe, Fach-bekannte und Fachfremde;Endbenutzer;6-10 pro Gruppe;5-10;Einholen von Meinungen und Vorschlägen;Gruppendiskussionen, Protokolle, Fragebögen;Likert-Skala (1-5);2-3 Stunden;Vor Ort;;https://www.onlinemarketing-praxis.de/glossar/fokusgruppen;
Heuristic Evaluation;Vor Usability-Tests und während der Design-Phase;Anfang der Entwicklung;Usability-Experten;Fachexperten;3-5;1-5;Identifikation von Usability-Problemen;Expertenberichte, Checklisten;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;;
Card Sorting;Während der Planungs- und Design-Phase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;15-20;>10;Verbesserung der Informationsarchitektur;Sortierdaten, Fragebögen;Quantitative Daten, offene Fragen;30-60 Minuten;Vor Ort oder remote;;https://www.onlinemarketing-praxis.de/glossar/card-sorting;
Contextual Inquiry;Frühe Entwicklungsphase und Anforderungsanalyse;Anfang der Entwicklung;Endbenutzer in ihrem natürlichen Arbeitsumfeld;Endbenutzer;3-5;1-5;Verstehen der Benutzeranforderungen und -verhalten;Beobachtungsprotokolle, Interviews;Qualitatives Feedback, offene Fragen;2-4 Stunden;Vor Ort;;https://www.onlinemarketing-praxis.de/glossar/contextual-inquiry-kontextanalyse;
Cognitive Walkthrough;Design- und frühe Entwicklungsphase;Anfang der Entwicklung;Usability-Experten oder Entwickler;Fachexperten;3-5;1-5;Bewertung der Benutzerfreundlichkeit;Schritt-für-Schritt-Berichte, Checklisten;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;;
Think-Aloud-Protocol;Prototyping-Phase und frühe Entwicklungsphase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;5-10;5-10;Erkennen von Usability-Problemen;Audio-/Videoaufnahmen, Protokolle;Offene Fragen, qualitative Daten;60-90 Minuten;Vor Ort oder remote;;;
Diary Studies;Während der gesamten Entwicklungsphase;Immer wieder;Endbenutzer, die regelmäßig teilnehmen;Endbenutzer;5-10;5-10;Sammeln von Langzeitdaten über Nutzungserfahrung;Tagebucheinträge, regelmäßige Feedback-Sessions;Offene Fragen, qualitative Daten;10-15 Minuten täglich;Remote;;https://www.onlinemarketing-praxis.de/glossar/nutzertagebuecher;
Guerrilla Testing;Jede Phase der Entwicklung, meist frühe Stadien;Immer wieder;Zufällige Personen an öffentlichen Orten;Zufällig;3-5 pro Session;1-5;Schnelles Feedback zur Benutzerfreundlichkeit;Mündliches Feedback, kurze Fragebögen;Offene Fragen, kurze Likert-Skala (1-3);5-15 Minuten;Vor Ort;;;
Ethnographic Studies;Frühe Entwicklungsphase;Anfang der Entwicklung;Endbenutzer in ihrem natürlichen Umfeld;Endbenutzer;3-5;1-5;Tieferes Verständnis der Benutzerkontexte;Beobachtungsprotokolle, Interviews;Qualitatives Feedback, offene Fragen;Mehrere Tage bis Wochen;Vor Ort;;;
Peer Reviews;Während der gesamten Entwicklungsphase;Immer wieder;Kollegen und andere Entwickler oder Designer;Entwickler;2-4;1-5;Identifikation von Problemen und Verbesserungspotenzialen;Review-Berichte, Feedback-Dokumente;Offene Fragen, qualitative Daten;30-60 Minuten;Vor Ort oder remote;;;
Surveys and Questionnaires;Während der Entwicklung und nach Releases;Während der Entwicklung;Endbenutzer oder repräsentative Benutzergruppen;Endbenutzer;10-20;>10;Sammeln von quantitativen und qualitativen Daten;Ausgefüllte Fragebögen;Likert-Skala (1-5), Schulnoten (1-6);10-20 Minuten;Remote;;;
Rapid Prototyping Feedback Sessions;Design- und frühe Entwicklungsphase;Anfang der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;3-5 pro Session;1-5;Schnelles Feedback zu frühen Prototypen;Beobachtungen, mündliches Feedback, kurze Fragebögen;Offene Fragen, kurze Likert-Skala (1-3);30-60 Minuten;Vor Ort oder remote;;https://www.onlinemarketing-praxis.de/glossar/rapid-prototyping;
Aufgabenanalyse;Vor der Gestaltung;Anfang der Entwicklung;Nutzer, die das System verwenden sollen;Endnutzer;Variabel;Variabel;Erfassung typischer Aufgaben, Use Cases;Aufgabenszenarien, User Stories;Quantitative und qualitative Bewertung;Unterschiedlich;Vor Ort;;;
Onsite-Befragung;Während oder nach Nutzung vor Ort;Nach der Entwicklung;Reale Nutzer der Website oder Anwendung;Endnutzer;Variabel;Variabel;Feedback zur Benutzererfahrung in Echtzeit;Direktes Feedback, Verbesserungsvorschläge;Qualitatives Feedback;Minuten bis 15-20;Vor Ort;;;
Panelbefragung;Vor oder nach Gestaltung;Anfang der Entwicklung;Mitglieder eines Panels, repräsentativ für Zielgruppe;Endnutzer;Hunderte bis Tausende;>10;Umfassendes Feedback zur Benutzererfahrung;Strukturierte Antworten, statistische Auswertungen;Skalierte Bewertungen, qualitative Kommentare;10-30 Minuten;Online;;;
Personas;Vor der Gestaltung;Anfang der Entwicklung;Potenzielle oder typische Nutzer der Anwendung;Endnutzer;Variabel;Variabel;Erstellung von Nutzerprofilen für das Design-Team;Detaillierte Beschreibung der Personas;Qualitative Beschreibungen;Abhängig von Anzahl;Vor Ort;;;
Synchroner Usability-Test;Während der Entwicklung;Während der Entwicklung;Aktuelle oder potenzielle Nutzer der Anwendung;Endnutzer;Typischerweise 5-15;5-10;Echtzeit-Feedback zu Benutzererfahrung während der Nutzung;Beobachtungen, Verbesserungsvorschläge;Qualitatives Feedback;30-60 Minuten;Vor Ort oder remote;;;
Asynchroner Usability-Test;Nach der Entwicklung;Nach der Entwicklung;Aktuelle oder potenzielle Nutzer der Anwendung;Endnutzer;Variabel;Variabel;Flexibles Feedback zur Benutzererfahrung in der realen Welt;Aufzeichnungen, schriftliche Rückmeldungen;Qualitatives Feedback;Tage bis Wochen;Remote, Online;;;
Expertenbasierte Evaluation;Vor oder nach Gestaltung;Nach der Entwicklung;Usability-Experten, Designer, Entwickler;Fachexperten;Wenige bis mehrere Experten;1-5;Analyse der Benutzererfahrung durch Fachleute;Expertenmeinungen, Empfehlungen;Expertenbewertung;Abhängig von Umfang;Vor Ort;;;
Usability-Test im Labor;Während der Entwicklung;Während der Entwicklung;Aktuelle oder potenzielle Nutzer der Anwendung;Endnutzer;Typischerweise 5-15;5-10;Detaillierte Beobachtung der Benutzerinteraktion im Labor;Aufzeichnungen, Verbesserungsvorschläge;Qualitatives Feedback;60-90 Minuten;Vor Ort;;;
Blickverlaufsmessung;Während der Nutzung;Nach der Entwicklung;Aktuelle Nutzer der Website oder Anwendung;Endnutzer;Große Stichprobe;>10;Verhaltensanalyse durch Erfassung von Blickbewegungen;Wärmebilder, Heatmaps;Quantitative Analyse;Unmittelbar;Vor Ort oder remote;;;
Web-Controlling;Kontinuierlich während Nutzung;Nach der Entwicklung;Alle Nutzer der Website oder Anwendung;Endnutzer;Alle Nutzer;Variabel;Analyse der Nutzungsmuster und -verhalten auf der Website;Statistiken, Trendanalysen;Quantitative Analyse;Kontinuierlich;Vor Ort oder remote;;;
Multivariater Tests;Während der Nutzung;Nach der Entwicklung;Aktuelle Nutzer der Website oder Anwendung;Endnutzer;Variabel;Variabel;Testen von mehreren Variablen gleichzeitig auf Wirkung;Statistische Auswertungen, Mustererkennung;Quantitative Analyse;Variabel;Vor Ort oder remote;;;

